37,22,47,43
45,24,46,47
15,3,48,63
45,4,44,69
4,4,48,51
62,9,46,60
54,7,47,47
27,10,45,62
28,16,46,55
32,7,46,73
23,9,82,151
24,9,82,127
28,9,82,250
26,17,82,54
16,3,49,34
55,14,46,69
62,10,46,62
54,7,46,79
24,9,81,17
22,12,82,52
23,10,81,33
25,9,81,30
25,18,82,38
36,23,49,40
60,1,48,60
17,3,49,38
55,16,46,56
50,2,44,59
63,11,46,59
54,6,46,87
25,9,82,195
25,19,102,40
35,22,49,37
58,2,47,60
54,24,49,41
45,24,47,48
23,12,45,60
15,5,50,41
54,16,46,64
49,1,46,87
34,23,49,29
59,2,46,63
45,25,46,55
24,12,45,62
17,5,50,54
54,16,47,47
50,1,47,57
55,6,46,64
22,14,48,54
26,10,46,60
30,15,46,60
25,8,82,10
23,10,82,86
34,22,51,28
55,25,49,50
46,26,46,57
25,10,44,61
46,4,46,96
3,5,46,49
33,8,44,55
59,3,46,73
55,24,50,36
16,6,50,46
54,17,47,49
47,3,45,72
27,17,82,49
45,26,46,34
63,12,45,62
54,6,45,59
26,9,46,72
29,15,46,76
26,8,82,23
28,10,82,102
25,24,102,42
35,21,51,46
59,3,47,63
45,26,45,37
53,16,46,59
48,3,45,66
50,1,46,75
61,12,46,60
25,10,46,60
29,16,46,57
33,8,46,75
27,10,82,105
26,10,43,29
17,6,49,41
55,15,46,57
48,2,44,56
51,2,46,83
61,13,45,47
55,6,45,67
24,8,46,63
26,24,102,26
27,10,81,48
54,23,50,45
46,26,44,43
54,15,46,70
4,4,45,57
61,13,44,50
53,6,45,67
24,8,45,53
25,10,82,68
27,9,82,147
27,18,82,51
26,10,44,73
17,5,49,44
51,1,45,80
22,9,82,113
28,9,81,79
54,24,50,44
17,4,49,35
51,2,45,70
54,23,49,41
17,4,50,60
48,2,45,59
62,14,45,58
22,14,46,59
25,9,45,54
60,3,48,62
55,22,49,54
17,3,50,51
51,1,46,82
25,10,45,68
22,10,81,34
56,23,47,40
16,4,51,64
47,2,44,70
35,8,48,68
6,5,46,50
62,12,44,42
54,8,45,66
26,11,44,38
36,6,49,33
56,24,48,53
46,27,45,35
26,9,45,46
53,17,46,55
52,1,47,62
53,8,44,64
33,6,49,48
34,22,50,41
57,23,48,44
25,11,45,45
55,17,48,49
51,1,47,64
5,5,45,42
53,7,44,69
21,14,47,41
28,12,44,56
26,10,82,90
26,23,101,33
24,18,102,29
45,25,44,44
16,3,51,54
46,6,46,75
22,13,45,50
27,13,44,36
23,9,83,31
33,23,50,36
52,7,45,60
28,13,45,60
27,23,102,33
29,9,82,138
45,24,44,44
15,4,50,66
55,18,48,65
47,4,45,75
24,11,46,73
29,14,44,52
26,23,102,31
33,21,50,48
60,3,49,50
46,23,44,37
54,17,48,50
47,4,44,63
6,4,46,61
52,8,46,81
29,12,45,55
33,22,52,34
46,21,44,41
6,4,45,39
53,6,46,71
31,6,48,58
24,10,81,21
33,24,51,37
62,4,48,43
48,5,46,83
53,8,46,67
34,23,50,52
58,24,48,43
53,17,48,65
48,6,46,78
52,1,48,56
54,9,46,63
22,10,82,117
34,22,49,42
61,4,46,70
47,21,46,61
26,11,47,41
16,5,51,48
5,2,47,34
25,7,46,64
28,12,46,56
34,9,46,59
24,19,101,20
35,20,50,46
16,4,50,70
52,17,48,77
54,1,48,47
4,2,45,43
62,12,47,46
54,9,45,56
62,3,46,69
57,24,47,37
46,21,46,48
25,9,46,76
53,17,47,49
47,5,46,72
4,1,45,43
62,12,46,62
24,7,45,52
26,9,82,130
27,23,101,12
35,19,50,49
46,19,46,54
25,8,46,75
16,5,50,41
54,16,45,53
55,1,47,61
5,2,46,43
61,11,47,44
54,8,46,66
34,10,46,72
62,4,47,55
47,6,46,88
55,3,48,55
36,10,46,66
35,19,49,25
44,18,46,70
15,7,50,51
56,2,47,60
35,21,50,38
56,3,47,57
6,2,45,26
62,11,46,60
55,10,45,33
27,11,46,67
36,11,46,62
23,19,102,36
34,19,50,40
61,3,46,79
15,4,51,56
5,3,47,55
56,10,46,65
61,4,48,54
44,19,46,50
54,17,46,75
46,6,45,61
55,2,47,53
3,5,47,31
35,13,48,57
24,10,82,74
61,3,49,45
16,5,48,53
55,19,46,61
56,3,45,75
2,5,46,56
26,12,45,46
55,23,46,47
23,7,46,66
52,20,48,54
63,9,45,45
24,13,44,48
29,15,45,49
61,3,48,61
55,23,45,32
24,6,47,59
17,6,48,42
64,8,45,64
23,13,44,48
36,12,49,35
28,10,81,28
61,3,47,52
23,6,47,43
57,2,45,69
24,13,45,51
23,9,81,87
58,3,47,65
56,23,45,47
25,7,47,53
44,6,45,65
57,1,44,67
56,9,47,59
58,4,46,74
56,22,46,33
24,7,46,72
51,20,47,50
43,6,44,66
24,19,102,44
26,7,47,58
18,4,49,38
51,21,48,51
42,6,44,51
26,6,47,52
19,5,51,39
52,22,47,42
44,5,44,51
58,2,44,58
57,7,46,73
22,13,46,57
36,12,47,40
56,23,46,56
44,18,47,50
26,6,46,69
20,6,51,46
45,5,45,69
56,8,47,50
57,2,47,56
45,19,46,61
27,4,46,61
55,8,46,75
57,2,46,86
57,23,46,61
20,6,50,49
52,22,48,57
58,1,44,51
27,22,102,18
57,23,45,40
44,17,48,69
27,3,45,58
44,6,44,55
64,9,45,53
20,14,46,62
33,17,51,45
58,26,46,45
24,5,46,84
4,1,46,55
64,11,45,54
56,5,46,77
19,13,44,35
27,17,45,44
35,13,50,45
34,17,50,48
56,3,44,86
61,27,46,40
54,21,47,49
46,5,45,73
57,3,44,65
57,6,45,70
19,12,44,44
27,18,46,49
44,16,48,72
25,5,45,67
55,21,46,65
45,7,46,81
3,1,46,47
17,11,45,39
33,17,50,38
64,26,48,37
54,19,45,52
57,5,45,81
26,8,45,67
31,18,50,31
57,3,45,55
63,25,48,64
44,7,46,85
3,1,45,49
27,9,81,40
27,9,83,33
64,26,47,34
42,17,47,40
18,6,50,43
1,1,45,34
64,10,45,66
57,5,46,70
26,6,45,72
63,28,47,37
45,9,46,78
55,3,44,61
63,11,45,49
46,7,46,63
1,2,45,40
64,10,46,51
26,7,45,54
19,11,45,38
28,18,45,57
35,13,49,39
62,29,46,42
25,4,46,60
56,19,46,54
47,7,46,79
56,6,45,59
2,1,44,47
18,11,45,47
31,17,48,57
61,29,46,47
42,15,47,34
26,5,46,75
2,2,45,32
62,12,45,45
57,4,47,53
36,13,49,49
55,19,44,40
47,7,47,51
5,1,46,72
60,3,46,82
25,5,46,73
18,6,51,50
54,19,46,66
56,4,46,62
19,12,45,38
32,18,48,57
41,15,48,68
5,2,45,44
36,14,48,54
24,5,45,75
56,7,45,61
60,9,45,64
55,3,45,75
18,13,45,37
34,13,49,44
21,6,51,40
53,18,45,35
26,8,47,49
20,13,46,57
29,17,45,48
53,19,46,47
60,10,45,55
55,3,46,71
20,12,46,53
48,7,46,84
5,1,45,60
59,10,47,53
27,9,46,67
33,12,49,29
30,16,48,46
24,6,46,69
52,18,46,53
55,9,48,59
59,10,45,52
27,10,46,86
20,11,45,48
32,11,48,54
31,15,48,53
52,17,45,54
56,10,47,45
27,9,45,54
20,10,45,54
32,12,50,56
60,4,46,84
41,13,47,52
52,17,46,75
49,5,46,60
55,10,47,47
57,8,46,82
29,11,47,46
21,9,48,50
33,10,50,54
26,18,82,56
32,15,47,43
61,30,46,41
49,3,46,81
29,10,46,68
23,9,47,42
31,16,48,47
20,5,50,59
55,11,48,54
28,11,47,57
23,8,47,45
60,3,47,63
61,30,45,32
48,3,46,67
62,2,45,57
41,12,46,70
20,5,51,45
54,12,48,53
31,17,45,47
28,9,83,48
31,16,47,47
45,3,45,59
55,4,45,67
61,31,46,31
42,9,45,47
44,4,45,48
54,4,45,57
23,10,48,65
34,9,50,46
62,31,45,36
41,9,44,38
43,3,45,78
58,8,47,54
54,3,45,75
24,9,46,71
30,17,46,45
33,8,50,51
31,17,47,40
62,3,44,74
62,32,46,44
43,3,44,69
54,2,44,71
23,11,48,43
22,13,83,35
42,10,44,60
19,6,52,36
51,18,45,51
42,1,44,60
61,2,44,54
41,2,44,74
58,8,46,79
34,8,50,50
61,3,45,60
63,32,46,44
41,11,44,49
5,1,47,29
58,7,46,67
54,3,44,77
33,8,51,56
30,17,48,50
61,4,44,47
24,5,48,45
50,18,45,63
59,7,45,53
33,8,49,47
41,12,44,59
18,7,52,36
50,18,44,51
41,3,44,72
23,10,47,50
25,9,83,40
23,6,48,49
17,7,52,41
50,17,44,41
54,2,45,68
62,33,46,43
40,12,44,61
16,7,51,47
54,13,47,58
33,7,50,28
22,9,81,33
32,15,48,49
60,4,44,59
63,33,47,38
50,15,45,55
42,3,42,31
53,12,49,40
3,2,47,41
34,6,48,62
32,15,49,34
39,12,44,50
17,8,51,46
50,14,45,38
42,2,43,33
54,13,50,51
34,7,48,51
32,14,48,61
63,32,48,45
40,13,45,55
51,14,46,74
41,2,42,25
52,11,49,41
2,1,46,48
24,9,47,41
31,18,46,53
32,13,48,60
61,4,45,66
62,32,50,30
40,11,46,63
51,13,46,62
41,3,41,21
50,11,49,52
25,9,47,46
30,18,45,29
31,13,47,41
59,4,43,49
64,33,52,26
24,4,46,67
51,12,50,49
24,10,44,53
33,17,45,41
35,11,47,50
31,14,47,44
40,12,46,87
50,13,47,41
42,2,41,26
51,12,49,62
2,1,48,37
26,10,45,65
33,18,44,49
22,8,82,12
52,11,47,45
41,1,42,39
4,3,47,50
34,10,47,50
40,14,46,53
17,7,51,38
3,4,47,29
34,11,46,44
16,8,51,58
51,12,48,74
49,11,50,60
3,6,47,40
28,8,45,57
32,15,46,58
36,13,46,53
59,3,44,79
38,13,46,61
40,1,43,37
2,6,47,33
27,8,45,61
33,16,47,33
25,17,83,22
30,16,45,42
63,34,52,27
40,1,44,77
49,10,50,56
1,6,47,34
56,2,46,68
32,15,44,48
13,5,52,39
52,9,48,66
39,1,44,61
2,7,44,38
59,3,45,54
62,34,52,24
39,13,46,65
52,10,48,57
38,1,44,88
2,6,45,52
56,1,45,65
31,17,46,69
13,5,51,44
39,1,45,68
55,1,45,60
34,14,50,39
48,10,50,60
27,8,44,53
39,12,46,69
53,10,48,60
59,5,46,52
36,13,50,39
35,13,45,73
22,14,82,75
13,7,52,30
54,8,47,57
39,3,45,65
36,13,51,42
23,13,82,24
34,16,47,44
62,35,51,17
37,2,44,53
48,10,52,34
58,5,46,85
55,2,46,74
24,11,44,42
35,12,50,51
35,12,46,73
34,17,47,32
36,3,45,69
47,10,50,58
28,8,82,30
36,2,45,66
58,4,44,66
55,4,46,76
35,12,45,67
24,20,102,11
34,17,46,55
63,35,51,17
55,9,45,59
38,2,45,86
35,12,49,47
31,19,46,58
58,3,45,62
64,36,51,15
24,4,47,42
38,2,46,90
34,12,50,53
30,19,46,53
63,37,52,23
23,5,46,51
39,2,46,89
3,5,45,43
30,21,46,37
63,35,50,36
25,9,44,49
38,14,46,70
54,7,45,67
25,4,45,76
24,17,82,52
31,19,45,41
41,17,45,34
12,8,51,47
38,4,45,64
48,9,50,45
30,20,45,38
41,16,45,60
49,9,48,64
55,5,46,72
26,4,45,50
36,13,47,65
63,35,49,30
22,6,46,63
49,9,49,49
35,15,47,57
29,9,81,39
62,35,49,29
42,16,45,48
12,7,51,50
39,4,46,69
49,8,48,71
3,6,45,40
35,14,46,62
56,2,45,53
12,7,52,37
49,8,47,58
27,5,45,58
35,14,48,58
34,13,46,64
30,22,46,51
63,34,48,40
41,16,46,84
57,4,44,54
24,9,83,36
21,7,44,61
10,7,51,44
5,4,45,54
60,3,44,71
57,6,46,72
26,7,48,56
35,14,50,44
40,18,46,62
20,7,46,55
11,8,52,46
54,8,43,38
34,16,50,37
64,35,47,31
40,17,46,56
54,7,44,53
37,5,46,82
49,7,46,66
4,5,46,57
56,6,46,63
27,7,47,53
32,16,51,43
25,18,102,9
31,20,46,64
63,35,46,37
54,6,44,50
37,4,44,62
27,6,46,62
34,15,49,35
23,19,101,36
63,34,47,38
12,10,52,39
53,6,44,65
24,6,44,64
25,6,46,69
34,13,45,53
62,35,47,30
