26,6,49,71
60,4,50,59
38,4,51,87
51,8,48,70
34,1,49,49
42,7,52,51
58,2,49,70
51,3,51,76
23,13,82,380
23,13,83,96
27,9,81,84
24,14,82,97
27,14,82,525
28,13,82,32
29,10,82,368
24,18,101,112
25,18,102,130
26,24,102,132
26,15,102,96
59,3,50,78
11,11,51,97
52,9,49,66
34,1,48,72
42,8,52,75
2,3,52,61
58,3,49,68
52,3,51,85
24,12,82,197
27,14,83,58
28,14,82,327
23,18,101,166
27,17,102,136
24,19,102,175
30,23,101,48
25,15,101,88
23,19,102,102
58,3,50,69
38,5,51,81
11,11,50,76
5,2,52,69
51,9,49,55
34,1,47,50
23,12,82,332
28,10,83,83
30,10,81,41
23,18,102,177
30,22,102,149
43,16,50,79
12,12,51,96
5,1,52,87
51,9,48,100
33,2,47,52
3,3,52,78
59,2,49,65
27,9,83,84
28,9,83,46
30,10,82,189
25,16,102,142
57,3,49,66
43,17,51,54
37,5,51,81
41,8,52,64
50,3,51,86
26,10,82,450
29,14,82,330
27,15,82,186
27,9,82,390
26,16,102,165
23,19,101,107
25,7,48,66
38,6,52,87
14,13,51,86
60,1,48,69
24,15,83,7
26,14,82,464
30,11,81,22
26,17,101,59
24,16,102,125
22,19,101,90
26,6,48,67
57,4,50,74
46,15,52,64
5,1,50,68
50,2,51,96
26,10,81,141
22,18,102,104
24,17,101,57
26,7,49,51
46,16,52,50
38,7,53,37
3,1,51,101
32,3,48,63
39,8,52,82
1,2,52,81
49,3,51,91
24,18,102,164
22,15,102,99
21,20,101,36
28,7,49,55
56,4,49,72
4,1,52,67
39,7,52,53
61,1,50,90
49,4,51,66
25,14,83,98
24,15,102,81
26,22,102,119
27,6,49,49
58,4,51,75
46,16,51,62
38,7,52,84
14,13,52,76
52,10,48,56
36,8,51,71
1,2,51,92
61,1,51,66
25,13,82,458
29,12,82,331
26,9,81,25
28,10,82,283
30,24,102,166
26,23,101,144
23,19,103,8
48,16,50,71
13,13,52,51
4,1,53,28
62,2,51,73
25,10,82,350
27,16,101,56
28,6,48,48
58,3,51,86
48,17,50,62
13,11,52,58
4,1,54,35
2,1,51,90
22,15,101,85
22,18,101,70
28,5,49,44
48,17,51,44
53,8,48,66
34,2,47,52
61,4,51,72
48,3,51,95
23,12,81,58
25,14,82,339
25,13,81,95
27,18,102,147
30,24,101,53
26,23,102,188
27,5,47,47
59,3,51,68
50,17,51,53
33,2,49,58
38,9,51,107
49,2,52,75
27,10,82,361
30,11,83,91
25,19,102,171
23,20,102,139
27,4,45,29
59,5,51,53
52,18,51,57
39,6,50,76
34,4,52,85
62,3,47,59
48,2,52,80
27,10,81,252
23,20,101,104
26,4,45,24
53,7,47,48
34,4,51,89
62,2,48,87
48,1,52,86
24,11,82,387
22,20,102,123
25,5,45,23
59,5,48,74
39,7,50,82
13,10,51,96
54,8,48,91
4,1,51,89
61,2,48,77
49,1,50,84
28,9,82,425
21,19,101,60
21,19,102,55
50,18,51,58
40,7,52,64
12,9,50,89
57,8,49,53
35,5,51,101
61,3,47,52
26,14,81,98
26,5,44,25
50,18,52,51
3,1,54,22
35,4,51,96
38,8,52,72
4,2,51,117
50,2,50,55
29,12,83,139
28,17,103,23
50,19,51,53
39,6,52,66
13,11,51,91
56,8,50,68
60,4,48,77
28,16,102,67
27,23,102,121
22,21,102,125
58,5,48,97
15,12,50,56
57,9,51,61
32,4,50,93
61,5,50,68
49,2,50,82
25,12,82,37
29,9,83,55
29,13,82,379
26,18,102,213
22,14,101,38
21,18,102,77
57,5,48,92
51,19,51,56
39,5,51,94
14,12,50,62
57,9,50,74
33,4,50,88
6,3,52,72
49,2,51,78
26,13,82,385
28,14,83,90
28,10,81,67
26,17,102,147
22,16,102,94
26,7,46,39
58,5,49,57
39,6,51,97
14,11,50,77
57,10,50,61
33,2,50,88
6,4,53,24
48,4,51,78
24,13,82,492
28,11,82,36
23,17,102,130
20,19,102,47
58,3,48,77
52,20,50,70
40,4,51,110
8,1,52,78
27,10,85,1
24,16,101,69
59,2,47,42
51,20,51,69
39,3,50,70
56,11,50,59
7,3,54,40
61,5,49,51
46,3,51,109
26,11,84,9
24,13,81,97
50,19,50,45
60,3,50,73
46,2,51,76
25,10,48,61
49,21,51,61
41,4,51,104
56,7,50,71
32,4,51,88
35,6,52,67
6,1,55,24
45,1,51,105
29,9,84,6
49,20,50,71
43,3,51,98
8,1,51,82
57,8,50,60
35,7,52,67
59,2,52,58
29,8,82,224
23,21,101,104
25,9,49,46
42,3,51,80
8,2,51,80
32,3,51,109
34,7,52,80
58,3,52,79
26,9,82,152
25,17,101,159
19,18,102,77
51,18,48,60
59,11,49,74
5,1,54,46
23,11,82,307
29,14,83,43
29,9,81,134
42,3,52,78
15,10,52,49
8,3,50,47
59,12,48,69
34,3,51,106
5,2,53,22
45,2,52,69
24,11,83,63
30,9,82,372
29,9,82,389
25,17,102,224
24,9,50,74
43,4,52,75
59,12,49,68
33,6,52,67
58,2,53,29
59,1,49,80
50,18,48,68
43,4,51,83
15,9,51,83
32,6,51,116
60,2,52,63
28,9,86,1
25,10,49,65
58,1,49,69
50,17,48,67
43,5,50,74
16,9,51,106
7,3,51,108
58,13,49,64
34,2,51,120
60,2,51,71
44,2,51,97
